,symbol,average_num_of_trades
0,BTCUSDT,1180485.9571280992
1,ETHUSDT,535490.2448347107
2,BNBUSDT,327877.00323450135
3,BCCUSDT,30964.474393530996
4,NEOUSDT,46828.05703422053
5,LTCUSDT,145127.3316831683
6,QTUMUSDT,38175.94192799071
7,ADAUSDT,247370.34376845835
8,XRPUSDT,293580.19391408114
9,EOSUSDT,131001.46852300242
10,TUSDUSDT,14794.872151898735
11,IOTAUSDT,41183.59611885992
12,XLMUSDT,81158.94845360825
13,ONTUSDT,51885.04387568556
14,TRXUSDT,138375.17643467642
15,ETCUSDT,104358.79535736103
16,ICXUSDT,25188.130806845966
17,VENUSDT,10734.666666666666
18,NULSUSDT,13855.689223057645
19,VETUSDT,118070.22208281053
20,PAXUSDT,12298.191768007484
21,BCHABCUSDT,55881.84656084656
22,BCHSVUSDT,36832.854430379746
23,USDCUSDT,39109.56657018813
24,LINKUSDT,169460.17477096547
25,WAVESUSDT,56525.48623853211
26,BTTUSDT,106885.1375807941
27,USDSUSDT,490.6378269617706
28,ONGUSDT,12232.466138328531
29,HOTUSDT,70968.55555555556
30,ZILUSDT,67070.11335740073
31,ZRXUSDT,22999.678779069767
32,FETUSDT,28577.478924418603
33,BATUSDT,46606.587463556854
34,XMRUSDT,43688.52314474651
35,ZECUSDT,61998.073800738006
36,IOSTUSDT,51497.98966026588
37,CELRUSDT,40516.891191709845
38,DASHUSDT,49308.98367952522
39,NANOUSDT,23641.70428015564
40,OMGUSDT,83877.24813710879
41,THETAUSDT,109579.97153558052
42,ENJUSDT,61445.4853051997
43,MITHUSDT,26342.915535444947
44,MATICUSDT,229809.25852918878
45,ATOMUSDT,126450.3518237082
46,TFUELUSDT,32985.09914794733
47,ONEUSDT,75994.46765393608
48,FTMUSDT,144799.2914375491
49,ALGOUSDT,97661.78288431061
50,USDSBUSDT,119.85416666666667
51,GTOUSDT,22562.057738572574
52,ERDUSDT,15188.061176470588
53,DOGEUSDT,380415.59727782226
54,DUSKUSDT,23838.64366883117
55,ANKRUSDT,40985.570268074734
56,WINUSDT,78159.62356792144
57,COSUSDT,27801.64426229508
58,NPXSUSDT,22819.55315614618
59,COCOSUSDT,31990.176814011676
60,MTLUSDT,23423.414166666666
61,TOMOUSDT,21308.412010008342
62,PERLUSDT,15256.269005847953
63,DENTUSDT,57576.951505016725
64,MFTUSDT,14120.683110367892
65,KEYUSDT,26060.22408026756
66,STORMUSDT,1398.7212543554008
67,DOCKUSDT,13665.239966555184
68,WANUSDT,10894.97491638796
69,FUNUSDT,17442.903010033446
70,CVCUSDT,24177.96153846154
71,CHZUSDT,131776.98650927487
72,BANDUSDT,37084.0528109029
73,BUSDUSDT,315422.1979522184
74,BEAMUSDT,14796.230572160546
75,XTZUSDT,75208.51797945205
76,RENUSDT,28856.8911739503
77,RVNUSDT,44374.86203941731
78,HCUSDT,2226.232445520581
79,HBARUSDT,51198.2347377472
80,NKNUSDT,25050.01042571677
81,STXUSDT,17796.929639401937
82,KAVAUSDT,52717.810026385225
83,ARPAUSDT,30674.912888888888
84,IOTXUSDT,51625.06266786034
85,RLCUSDT,29050.550581915846
86,MCOUSDT,1993.5382352941176
87,CTXCUSDT,21971.05590622182
88,BCHUSDT,122910.51767905711
89,TROYUSDT,25455.600364963502
90,VITEUSDT,17972.401654411766
91,FTTUSDT,45467.69585687383
92,EURUSDT,77554.97656982193
93,OGNUSDT,47877.48727615457
94,DREPUSDT,16361.978116079923
95,BULLUSDT,15547.0
96,BEARUSDT,25353.04
97,ETHBULLUSDT,39960.254237288136
98,ETHBEARUSDT,57397.254237288136
99,TCTUSDT,15408.78869047619
