,symbol,average_volume
0,BTCUSDT,1435262787.6464596
1,ETHUSDT,717025931.1068097
2,BNBUSDT,247577923.654201
3,BCCUSDT,20958570.73664148
4,NEOUSDT,21757313.22396709
5,LTCUSDT,77002424.1623783
6,QTUMUSDT,13777625.884275554
7,ADAUSDT,164726934.6300434
8,XRPUSDT,225787025.797276
9,EOSUSDT,70598233.44165185
10,TUSDUSDT,11732006.70024096
11,IOTAUSDT,12814279.935907139
12,XLMUSDT,33938192.90832507
13,ONTUSDT,17929538.45857816
14,TRXUSDT,73898150.5888284
15,ETCUSDT,63863617.691833794
16,ICXUSDT,7820580.703513915
17,VENUSDT,5847054.06768997
18,NULSUSDT,2791794.502449781
19,VETUSDT,56122958.58491563
20,PAXUSDT,6883955.578092964
21,BCHABCUSDT,27683338.631328683
22,BCHSVUSDT,12473155.864093797
23,USDCUSDT,93012562.0690847
24,LINKUSDT,95805375.68141969
25,WAVESUSDT,21243403.948252015
26,BTTUSDT,49266796.957104616
27,USDSUSDT,84127.18562980082
28,ONGUSDT,2708312.3468286125
29,HOTUSDT,25732760.328761682
30,ZILUSDT,23020299.239190325
31,ZRXUSDT,6544595.1626930125
32,FETUSDT,10186200.68275506
33,BATUSDT,12364875.307735713
34,XMRUSDT,16409413.547612619
35,ZECUSDT,23442437.850713
36,IOSTUSDT,17339351.233602177
37,CELRUSDT,13125276.12631003
38,DASHUSDT,17067420.18515627
39,NANOUSDT,7900578.926062922
40,OMGUSDT,28395883.926968
41,THETAUSDT,41061863.292501725
42,ENJUSDT,25069215.70274439
43,MITHUSDT,6818488.769235783
44,MATICUSDT,120474589.65976903
45,ATOMUSDT,50632683.583634004
46,TFUELUSDT,12869741.736701185
47,ONEUSDT,27507793.099772442
48,FTMUSDT,77937757.22238447
49,ALGOUSDT,30496686.9598801
50,USDSBUSDT,11094.291997010418
51,GTOUSDT,5155200.386938776
52,ERDUSDT,3497420.0786500927
53,DOGEUSDT,314349899.4881629
54,DUSKUSDT,5147177.859226096
55,ANKRUSDT,13616163.088573175
56,WINUSDT,34712602.934193395
57,COSUSDT,4562124.1360103395
58,NPXSUSDT,8220466.484876382
59,COCOSUSDT,8019156.489062633
60,MTLUSDT,6679829.479860232
61,TOMOUSDT,4844094.275246282
62,PERLUSDT,3102343.199925109
63,DENTUSDT,21254565.32012262
64,MFTUSDT,3127972.2417741865
65,KEYUSDT,5462887.090702964
66,STORMUSDT,193072.02874529964
67,DOCKUSDT,2839503.8301286018
68,WANUSDT,2087808.9165193688
69,FUNUSDT,3717284.4366256148
70,CVCUSDT,5756454.06512644
71,CHZUSDT,68617444.32395113
72,BANDUSDT,11012070.07962274
73,BUSDUSDT,528107309.0826516
74,BEAMUSDT,2728672.8662820463
75,XTZUSDT,26232133.936875198
76,RENUSDT,8359194.697817812
77,RVNUSDT,12939353.47636525
78,HCUSDT,172999.09914434628
79,HBARUSDT,15850545.56602037
80,NKNUSDT,7828091.334249737
81,STXUSDT,5319929.437718961
82,KAVAUSDT,17823455.094849728
83,ARPAUSDT,8316010.61161183
84,IOTXUSDT,16924504.40333014
85,RLCUSDT,8421200.093722085
86,MCOUSDT,312397.0096625823
87,CTXCUSDT,5300915.377957569
88,BCHUSDT,69462781.32543051
89,TROYUSDT,4686190.153089145
90,VITEUSDT,4286717.197837031
91,FTTUSDT,28007320.50843253
92,EURUSDT,43591224.86472273
93,OGNUSDT,13697307.120423816
94,DREPUSDT,3380858.703458167
95,BULLUSDT,9693920.10515054
96,BEARUSDT,11809335.837544177
97,ETHBULLUSDT,24968827.226449456
98,ETHBEARUSDT,35265610.15979238
99,TCTUSDT,3394644.4483145657
100,WRXUSDT,12554051.13978631
101,BTSUSDT,2947423.3572794334
102,LSKUSDT,3661521.157788393
103,BNTUSDT,2781008.472483241
104,LTOUSDT,4427355.542428478
105,EOSBULLUSDT,11345077.860036537
106,EOSBEARUSDT,6521350.668125041
107,XRPBULLUSDT,5249498.503233956
108,XRPBEARUSDT,3561998.8584387
109,STRATUSDT,363246.5611690896
110,AIONUSDT,4057532.034999392
111,MBLUSDT,6127431.302925123
112,COTIUSDT,17470665.36535059
113,BNBBULLUSDT,4023781.5675457334
114,BNBBEARUSDT,3184898.558615829
115,STPTUSDT,4153219.92302227
116,WTCUSDT,3702440.4662636505
117,DATAUSDT,5931817.030705163
118,XZCUSDT,577696.6959931768
119,SOLUSDT,230732441.84892225
120,CTSIUSDT,11757457.848882595
121,HIVEUSDT,4955437.781082604
122,CHRUSDT,26454868.225412823
123,BTCUPUSDT,11202543.102733314
124,BTCDOWNUSDT,13232900.577342864
125,GXSUSDT,11744037.521444166
126,ARDRUSDT,2162264.276382653
127,LENDUSDT,10274317.221342485
128,MDTUSDT,4655957.7343835
129,STMXUSDT,10043669.327186726
130,KNCUSDT,10511628.796232782
131,REPUSDT,2101442.2721343176
132,LRCUSDT,34437528.12558363
133,PNTUSDT,4944519.4952145135
134,COMPUSDT,15373340.397086998
135,BKRWUSDT,45354.95120109697
136,SCUSDT,11968737.97316606
137,ZENUSDT,10464851.541612957
138,SNXUSDT,16777788.64325968
139,ETHUPUSDT,11529198.846536983
140,ETHDOWNUSDT,7328498.683302254
141,ADAUPUSDT,6379754.93495547
142,ADADOWNUSDT,3740390.092291935
143,LINKUPUSDT,4843938.382528372
144,LINKDOWNUSDT,4377724.4613217795
145,VTHOUSDT,6966967.911956087
146,DGBUSDT,6626236.670621473
147,GBPUSDT,19303561.63182836
148,SXPUSDT,52097741.5482608
149,MKRUSDT,9170644.088384284
150,DAIUSDT,1750779.3832686672
151,DCRUSDT,1466885.882923043
152,STORJUSDT,12411278.458380492
153,BNBUPUSDT,7743268.678463972
154,BNBDOWNUSDT,5581618.579203197
155,XTZUPUSDT,5516254.114208499
156,XTZDOWNUSDT,1176784.5456369214
157,MANAUSDT,85334887.59702908
158,AUDUSDT,14462980.719636094
159,YFIUSDT,33510686.93376778
160,BALUSDT,4858574.09835067
161,BLZUSDT,7645900.85134058
162,IRISUSDT,3477221.2265199525
163,KMDUSDT,2801879.718958688
164,JSTUSDT,12293563.226227617
165,SRMUSDT,22743296.208903223
166,ANTUSDT,8924227.862901699
167,CRVUSDT,42265851.54560097
168,SANDUSDT,102198091.67980963
169,OCEANUSDT,10861777.925523838
170,NMRUSDT,3068640.985588005
171,DOTUSDT,232655693.91691124
172,LUNAUSDT,160189739.26385897
173,RSRUSDT,16113807.077608148
174,PAXGUSDT,4745118.1840561945
175,WNXMUSDT,2432540.803804323
176,TRBUSDT,7932568.460217054
177,BZRXUSDT,9544385.368413365
178,SUSHIUSDT,47696288.8187569
179,YFIIUSDT,13194538.02191077
