,id,symbol
0,1,BTCUSDT
1,2,ETHUSDT
2,3,BNBUSDT
3,4,BCCUSDT
4,5,NEOUSDT
5,6,LTCUSDT
6,7,QTUMUSDT
7,8,ADAUSDT
8,9,XRPUSDT
9,10,EOSUSDT
10,11,TUSDUSDT
11,12,IOTAUSDT
12,13,XLMUSDT
13,14,ONTUSDT
14,15,TRXUSDT
15,16,ETCUSDT
16,17,ICXUSDT
17,18,VENUSDT
18,19,NULSUSDT
19,20,VETUSDT
20,21,PAXUSDT
21,22,BCHABCUSDT
22,23,BCHSVUSDT
23,24,USDCUSDT
24,25,LINKUSDT
25,26,WAVESUSDT
26,27,BTTUSDT
27,28,USDSUSDT
28,29,ONGUSDT
29,30,HOTUSDT
30,31,ZILUSDT
31,32,ZRXUSDT
32,33,FETUSDT
33,34,BATUSDT
34,35,XMRUSDT
35,36,ZECUSDT
36,37,IOSTUSDT
37,38,CELRUSDT
38,39,DASHUSDT
39,40,NANOUSDT
40,41,OMGUSDT
41,42,THETAUSDT
42,43,ENJUSDT
43,44,MITHUSDT
44,45,MATICUSDT
45,46,ATOMUSDT
46,47,TFUELUSDT
47,48,ONEUSDT
48,49,FTMUSDT
49,50,ALGOUSDT
50,51,USDSBUSDT
51,52,GTOUSDT
52,53,ERDUSDT
53,54,DOGEUSDT
54,55,DUSKUSDT
55,56,ANKRUSDT
56,57,WINUSDT
57,58,COSUSDT
58,59,NPXSUSDT
59,60,COCOSUSDT
60,61,MTLUSDT
61,62,TOMOUSDT
62,63,PERLUSDT
63,64,DENTUSDT
64,65,MFTUSDT
65,66,KEYUSDT
66,67,STORMUSDT
67,68,DOCKUSDT
68,69,WANUSDT
69,70,FUNUSDT
70,71,CVCUSDT
71,72,CHZUSDT
72,73,BANDUSDT
73,74,BUSDUSDT
74,75,BEAMUSDT
75,76,XTZUSDT
76,77,RENUSDT
77,78,RVNUSDT
78,79,HCUSDT
79,80,HBARUSDT
80,81,NKNUSDT
81,82,STXUSDT
82,83,KAVAUSDT
83,84,ARPAUSDT
84,85,IOTXUSDT
85,86,RLCUSDT
86,87,MCOUSDT
87,88,CTXCUSDT
88,89,BCHUSDT
89,90,TROYUSDT
90,91,VITEUSDT
91,92,FTTUSDT
92,93,EURUSDT
93,94,OGNUSDT
94,95,DREPUSDT
95,96,BULLUSDT
96,97,BEARUSDT
97,98,ETHBULLUSDT
98,99,ETHBEARUSDT
99,100,TCTUSDT
100,101,WRXUSDT
101,102,BTSUSDT
102,103,LSKUSDT
103,104,BNTUSDT
104,105,LTOUSDT
105,106,EOSBULLUSDT
106,107,EOSBEARUSDT
107,108,XRPBULLUSDT
108,109,XRPBEARUSDT
109,110,STRATUSDT
110,111,AIONUSDT
111,112,MBLUSDT
112,113,COTIUSDT
113,114,BNBBULLUSDT
114,115,BNBBEARUSDT
115,116,STPTUSDT
116,117,WTCUSDT
117,118,DATAUSDT
118,119,XZCUSDT
119,120,SOLUSDT
120,121,CTSIUSDT
121,122,HIVEUSDT
122,123,CHRUSDT
123,124,BTCUPUSDT
124,125,BTCDOWNUSDT
125,126,GXSUSDT
126,127,ARDRUSDT
127,128,LENDUSDT
128,129,MDTUSDT
129,130,STMXUSDT
130,131,KNCUSDT
131,132,REPUSDT
132,133,LRCUSDT
133,134,PNTUSDT
134,135,COMPUSDT
135,136,BKRWUSDT
136,137,SCUSDT
137,138,ZENUSDT
138,139,SNXUSDT
139,140,ETHUPUSDT
140,141,ETHDOWNUSDT
141,142,ADAUPUSDT
142,143,ADADOWNUSDT
143,144,LINKUPUSDT
144,145,LINKDOWNUSDT
145,146,VTHOUSDT
146,147,DGBUSDT
147,148,GBPUSDT
148,149,SXPUSDT
149,150,MKRUSDT
150,151,DAIUSDT
151,152,DCRUSDT
152,153,STORJUSDT
153,154,BNBUPUSDT
154,155,BNBDOWNUSDT
155,156,XTZUPUSDT
156,157,XTZDOWNUSDT
157,158,MANAUSDT
158,159,AUDUSDT
159,160,YFIUSDT
160,161,BALUSDT
161,162,BLZUSDT
162,163,IRISUSDT
163,164,KMDUSDT
164,165,JSTUSDT
165,166,SRMUSDT
166,167,ANTUSDT
167,168,CRVUSDT
168,169,SANDUSDT
169,170,OCEANUSDT
170,171,NMRUSDT
171,172,DOTUSDT
172,173,LUNAUSDT
173,174,RSRUSDT
174,175,PAXGUSDT
175,176,WNXMUSDT
176,177,TRBUSDT
177,178,BZRXUSDT
178,179,SUSHIUSDT
179,180,YFIIUSDT
180,181,KSMUSDT
181,182,EGLDUSDT
182,183,DIAUSDT
183,184,RUNEUSDT
184,185,FIOUSDT
185,186,UMAUSDT
186,187,EOSUPUSDT
187,188,EOSDOWNUSDT
188,189,TRXUPUSDT
189,190,TRXDOWNUSDT
190,191,XRPUPUSDT
191,192,XRPDOWNUSDT
192,193,DOTUPUSDT
193,194,DOTDOWNUSDT
194,195,BELUSDT
195,196,WINGUSDT
196,197,LTCUPUSDT
197,198,LTCDOWNUSDT
198,199,UNIUSDT
199,200,NBSUSDT
200,201,OXTUSDT
201,202,SUNUSDT
202,203,AVAXUSDT
203,204,HNTUSDT
204,205,FLMUSDT
205,206,UNIUPUSDT
206,207,UNIDOWNUSDT
207,208,ORNUSDT
208,209,UTKUSDT
209,210,XVSUSDT
210,211,ALPHAUSDT
211,212,AAVEUSDT
212,213,NEARUSDT
213,214,SXPUPUSDT
214,215,SXPDOWNUSDT
215,216,FILUSDT
216,217,FILUPUSDT
