timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av
2022-03-11,0.02500000,0.05182000,0.02500000,0.03310000,23246416.00000000,1647043199999,971502.99423000,8062,11021220.00000000,469865.93089000
2022-03-12,0.03299000,0.03352000,0.02701000,0.02796000,5015349.00000000,1647129599999,154112.84144000,1773,1638382.00000000,50670.65966000
2022-03-13,0.02800000,0.02863000,0.02349000,0.02426000,3532057.00000000,1647215999999,92820.88606000,1215,1232671.00000000,32511.28706000
2022-03-14,0.02427000,0.03100000,0.02102000,0.02556000,5944703.00000000,1647302399999,148135.92203000,1996,2279851.00000000,57323.96966000
2022-03-15,0.02557000,0.03000000,0.02461000,0.02700000,8049223.00000000,1647388799999,218621.91807000,2358,3063370.00000000,84094.09837000
2022-03-16,0.02662000,0.02673000,0.02510000,0.02576000,1446901.00000000,1647475199999,37398.59334000,630,619679.00000000,16009.25768000
2022-03-17,0.02568000,0.02604000,0.02450000,0.02464000,1639312.00000000,1647561599999,41679.87889000,687,967164.00000000,24679.63276000
2022-03-18,0.02471000,0.02521000,0.02213000,0.02346000,2480225.00000000,1647647999999,58578.05414000,834,1157632.00000000,27259.25622000
2022-03-19,0.02346000,0.02550000,0.02337000,0.02360000,1608467.00000000,1647734399999,38663.46323000,593,798640.00000000,19326.88348000
2022-03-20,0.02404000,0.02550000,0.02213000,0.02322000,1234595.00000000,1647820799999,29183.99445000,401,632134.00000000,15229.11179000
2022-03-21,0.02325000,0.02395000,0.02265000,0.02326000,316915.00000000,1647907199999,7308.27905000,204,137853.00000000,3193.05762000
2022-03-22,0.02326000,0.02334000,0.02000000,0.02165000,780837.00000000,1647993599999,17440.28223000,332,239339.00000000,5445.16997000
2022-03-23,0.02280000,0.02320000,0.02002000,0.02198000,711899.00000000,1648079999999,15771.52664000,239,309538.00000000,7005.66851000
2022-03-24,0.02199000,0.02550000,0.02150000,0.02213000,1427369.00000000,1648166399999,32290.06875000,264,459533.00000000,10669.29860000
2022-03-25,0.02392000,0.02393000,0.01503000,0.01960000,28489563.00000000,1648252799999,566341.83131000,2879,13432353.00000000,269145.04961000
2022-03-26,0.01962000,0.02100000,0.01847000,0.01901000,39410930.00000000,1648339199999,762369.73826000,3717,19021120.00000000,369362.32627000
2022-03-27,0.01908000,0.01950000,0.01860000,0.01895000,39773770.00000000,1648425599999,753154.99075000,3536,19773891.00000000,376124.01271000
2022-03-28,0.01890000,0.02150000,0.01860000,0.01902000,38061085.00000000,1648511999999,723335.27808000,3448,18531990.00000000,353130.81235000
2022-03-29,0.01905000,0.01942000,0.01803000,0.01853000,19939508.00000000,1648598399999,378038.14527000,1842,9265196.00000000,176224.41199000
2022-03-30,0.01829000,0.01860000,0.01779000,0.01824000,1067878.00000000,1648684799999,19393.63367000,266,516527.00000000,9389.56553000
2022-03-31,0.01824000,0.01853000,0.01753000,0.01792000,1225687.00000000,1648771199999,22115.22014000,303,520941.00000000,9417.53645000
2022-04-01,0.01793000,0.01793000,0.01601000,0.01708000,1389799.00000000,1648857599999,24007.65760000,235,578912.00000000,10093.61630000
2022-04-02,0.01708000,0.01796000,0.01688000,0.01734000,808493.00000000,1648943999999,14083.12358000,230,410597.00000000,7151.38307000
2022-04-03,0.01723000,0.01789000,0.01676000,0.01734000,291719.00000000,1649030399999,5063.17846000,93,147567.00000000,2586.72439000
2022-04-04,0.01730000,0.01793000,0.01671000,0.01741000,973618.00000000,1649116799999,16879.34977000,246,443296.00000000,7777.10635000
2022-04-05,0.01732000,0.01786000,0.01688000,0.01739000,982846.00000000,1649203199999,17011.32999000,216,435315.00000000,7570.85822000
2022-04-06,0.01717000,0.01760000,0.01612000,0.01643000,1087729.00000000,1649289599999,18232.39908000,182,307955.00000000,5236.10534000
2022-04-07,0.01637000,0.01690000,0.01559000,0.01634000,498479.00000000,1649375999999,7989.55748000,90,126880.00000000,2074.25929000
2022-04-08,0.01620000,0.01661000,0.01566000,0.01583000,512491.00000000,1649462399999,8320.71223000,159,167868.00000000,2724.26109000
2022-04-09,0.01574000,0.01574000,0.01500000,0.01502000,356766.00000000,1649548799999,5438.32755000,118,114097.00000000,1741.67796000
2022-04-10,0.01502000,0.01567000,0.01413000,0.01446000,1040883.00000000,1649635199999,15600.61736000,120,359024.00000000,5470.05537000
2022-04-11,0.01438000,0.01495000,0.01379000,0.01397000,674024.00000000,1649721599999,9538.63837000,142,284494.00000000,4057.04487000
2022-04-12,0.01408000,0.01446000,0.01329000,0.01388000,270489.00000000,1649807999999,3735.22757000,92,61217.00000000,845.05995000
2022-04-13,0.01373000,0.01549000,0.01329000,0.01455000,571134.00000000,1649894399999,8201.82377000,160,276363.00000000,4103.12785000
2022-04-14,0.01444000,0.01538000,0.01389000,0.01443000,435973.00000000,1649980799999,6312.47078000,139,194777.00000000,2881.70180000
2022-04-15,0.01436000,0.01552000,0.01436000,0.01487000,170984.00000000,1650067199999,2536.30836000,98,109553.00000000,1630.46725000
2022-04-16,0.01480000,0.01511000,0.01461000,0.01511000,127362.00000000,1650153599999,1900.75935000,56,24363.00000000,365.40869000
2022-04-17,0.01506000,0.01549000,0.01457000,0.01457000,228728.00000000,1650239999999,3422.09145000,75,44448.00000000,668.13700000
2022-04-18,0.01489000,0.01496000,0.01380000,0.01442000,217407.00000000,1650326399999,3165.21218000,78,87591.00000000,1284.14126000
2022-04-19,0.01449000,0.02020000,0.01449000,0.01832000,4535534.00000000,1650412799999,81530.66493000,1093,2738338.00000000,48992.95767000
2022-04-20,0.01831000,0.01831000,0.01634000,0.01717000,937966.00000000,1650499199999,16153.26420000,363,426587.00000000,7285.61591000
2022-04-21,0.01707000,0.01722000,0.01447000,0.01511000,1595280.00000000,1650585599999,24341.78389000,450,456200.00000000,6973.22412000
2022-04-22,0.01511000,0.01616000,0.01444000,0.01485000,519545.00000000,1650671999999,7827.32314000,186,210206.00000000,3207.18437000
2022-04-23,0.01476000,0.01526000,0.01421000,0.01468000,612500.00000000,1650758399999,9000.44225000,339,309101.00000000,4555.35157000
2022-04-24,0.01468000,0.01486000,0.01402000,0.01404000,720022.00000000,1650844799999,10298.42942000,247,498957.00000000,7099.85473000
